spp,scd,dbh,dbh_cm,tht,tht_m,stm,stm_kg,brk,brk_kg,bch,bch_kg,fol,fol_kg,agb,agb_kg,lon,lat
Pinus echinata,110,2.6,6.604,22.2,6.766229808,8.66,3.927437642,3.55,1.609977324,1.16,0.526077098,1.44,0.653061224,14.81,6.716553288,-83.6,34.03
Pinus echinata,110,2.8,7.112,21,6.400487656,11.52,5.224489796,3.9,1.768707483,3.34,1.514739229,3.47,1.573696145,22.23,10.08163265,-83.6,34.03
Pinus echinata,110,1.6,4.064,21.2,6.461444681,3.67,1.664399093,1.47,0.666666667,0.4,0.181405896,0.32,0.145124717,5.86,2.657596372,-83.6,34.03
Pinus echinata,110,2.9,7.366,14.6,4.449862847,6.67,3.024943311,2.89,1.310657596,3.12,1.414965986,3.23,1.464852608,15.91,7.215419501,-83.6,34.03
Pinus echinata,110,3.2,8.128,24,7.314843036,14.77,6.698412698,4.71,2.136054422,2.59,1.174603175,2.69,1.219954649,24.76,11.22902494,-83.6,34.03
Pinus echinata,110,3.4,8.636,27.2,8.29015544,20.36,9.233560091,6.12,2.775510204,2.68,1.215419501,3.07,1.392290249,32.23,14.61678005,-83.6,34.03
Pinus echinata,110,3.6,9.144,31.3,9.539774459,19.97,9.056689342,6.83,3.097505669,2.5,1.133786848,3.16,1.433106576,32.46,14.72108844,-83.6,34.03
Pinus echinata,110,3.7,9.398,22.7,6.918622371,16.82,7.628117914,5.71,2.589569161,4.01,1.818594104,4.68,2.12244898,31.22,14.15873016,-83.6,34.03
Pinus echinata,110,3.9,9.906,22.6,6.888143859,20.29,9.201814059,7.48,3.392290249,5.19,2.353741497,5.27,2.390022676,38.23,17.33786848,-83.6,34.03
Pinus echinata,110,4,10.16,28.9,8.808290155,27.49,12.46712018,6.64,3.011337868,7.11,3.224489796,5.81,2.634920635,47.05,21.33786848,-83.6,34.03
Pinus echinata,110,4.2,10.668,21.1,6.430966169,14.81,6.716553288,6.3,2.857142857,7.84,3.555555556,4.87,2.20861678,33.82,15.33786848,-83.6,34.03
Pinus echinata,110,4.5,11.43,26.9,8.198719902,30.86,13.99546485,8.89,4.031746032,9.92,4.498866213,11.37,5.156462585,61.04,27.68253968,-83.6,34.03
